county,foodinsecurityrate,childfoodinsecurityrate, costpermeal 
Potter,0.166,0.237,2.87
Presidio,0.135,0.277,3.3
Rains,0.161,0.225,2.92
Randall,0.134,0.193,3.32
Reagan,0.085,0.220,2.92
Real,0.174,0.280,2.79
Red River,0.201,0.240,2.75
Reeves,0.071,0.177,2.91
Refugio,0.129,0.249,2.74
Roberts,0.131,0.195,3.17
Robertson,0.175,0.230,2.83
Rockwall,0.119,0.182,3.03
Runnels,0.138,0.220,2.86
Rusk,0.182,0.243,2.71
Sabine,0.212,0.321,2.96
San Augustine,0.235,0.308,2.91
San Jacinto,0.183,0.251,3.19
San Patricio,0.124,0.243,2.74
San Saba,0.149,0.253,2.69
Schleicher,0.085,0.177,2.79
Scurry,0.123,0.206,2.91
Shackelford,0.162,0.231,2.91
Shelby,0.206,0.280,2.92
Sherman,0.105,0.209,2.94
Smith,0.182,0.230,2.91
Somervell,0.171,0.273,2.79
Starr,0.129,0.321,2.71
Stephens,0.166,0.264,3.01
Sterling,0.115,0.251,2.91
Stonewall,0.143,0.212,2.86
Sutton,0.080,0.180,2.59
Swisher,0.151,0.245,3.01
Tarrant,0.160,0.214,2.89
Taylor,0.167,0.224,2.91
Terrell,0.122,0.213,2.55
Terry,0.114,0.222,2.99
Throckmorton,0.168,0.237,2.96
Titus,0.153,0.247,2.73
Tom Green,0.131,0.206,2.78
Travis,0.146,0.202,3.28
Trinity,0.193,0.274,2.9
Tyler,0.193,0.274,2.93
Upshur,0.179,0.245,2.92
Upton,0.121,0.216,2.92
Uvalde,0.090,0.226,2.55
Val Verde,0.093,0.224,2.34
Van Zandt,0.162,0.232,2.99
Victoria,0.129,0.221,2.63
Walker,0.225,0.245,2.94
Waller,0.181,0.236,3.32
Ward,0.101,0.186,2.83
Washington,0.169,0.228,3.03
Webb,0.094,0.252,2.39
Wharton,0.151,0.240,2.72
Wheeler,0.163,0.254,3.06
Wichita,0.185,0.245,2.78
Wilbarger,0.165,0.236,2.81
Willacy,0.141,0.329,2.07
Williamson,0.125,0.183,3.17
Wilson,0.096,0.189,2.84
Winkler,0.105,0.219,2.94
Wise,0.145,0.229,3.07
Wood,0.167,0.245,3.04
Yoakum,0.072,0.180,3.03
Young,0.155,0.242,2.84
Zapata,0.112,0.293,2.44
Zavala,0.143,0.350,2.42
